Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.61,0.61,0.34152091835258097
100% Corpus,4,0.61,0.9099999999999999,0.3331694181284165
100% Corpus,4,0.61,symmetric,0.34410539415634467
100% Corpus,4,0.9099999999999999,0.01,0.3563556513289241
100% Corpus,4,0.9099999999999999,0.31,0.31642523963328617
100% Corpus,4,0.9099999999999999,0.61,0.33511424735730433
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.34703130629082746
100% Corpus,4,0.9099999999999999,symmetric,0.3132004582573458
100% Corpus,4,symmetric,0.01,0.38967889146250123
100% Corpus,4,symmetric,0.31,0.3960609156539426
100% Corpus,4,symmetric,0.61,0.3813377206365166
100% Corpus,4,symmetric,0.9099999999999999,0.36110164380641707
100% Corpus,4,symmetric,symmetric,0.3783610053508376
100% Corpus,4,asymmetric,0.01,0.3568674542541765
100% Corpus,4,asymmetric,0.31,0.34224283486597895
100% Corpus,4,asymmetric,0.61,0.335299546770498
100% Corpus,4,asymmetric,0.9099999999999999,0.33855343787371617
100% Corpus,4,asymmetric,symmetric,0.3504759950873573
100% Corpus,5,0.01,0.01,0.36239534459648404
100% Corpus,5,0.01,0.31,0.31126650372708403
100% Corpus,5,0.01,0.61,0.3245674163769866
100% Corpus,5,0.01,0.9099999999999999,0.32360534660815365
100% Corpus,5,0.01,symmetric,0.3237350815396476
100% Corpus,5,0.31,0.01,0.3634249403177586
100% Corpus,5,0.31,0.31,0.36264801839828176
100% Corpus,5,0.31,0.61,0.3288082450433146
100% Corpus,5,0.31,0.9099999999999999,0.32618767434698254
100% Corpus,5,0.31,symmetric,0.36550116793111975
100% Corpus,5,0.61,0.01,0.34185447222212484
100% Corpus,5,0.61,0.31,0.33535140229918414
100% Corpus,5,0.61,0.61,0.32479790617656523
100% Corpus,5,0.61,0.9099999999999999,0.3424814871321448
100% Corpus,5,0.61,symmetric,0.333238110690642
100% Corpus,5,0.9099999999999999,0.01,0.3364052223045857
100% Corpus,5,0.9099999999999999,0.31,0.33501701219130736
100% Corpus,5,0.9099999999999999,0.61,0.33486127978563285
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.34676499285058954
100% Corpus,5,0.9099999999999999,symmetric,0.3297380444963657
100% Corpus,5,symmetric,0.01,0.34802767482234365
100% Corpus,5,symmetric,0.31,0.35895229291022207
100% Corpus,5,symmetric,0.61,0.34073279932397177
100% Corpus,5,symmetric,0.9099999999999999,0.3150909177989152
100% Corpus,5,symmetric,symmetric,0.358233723583787
100% Corpus,5,asymmetric,0.01,0.35411296438793016
100% Corpus,5,asymmetric,0.31,0.34198134931464585
100% Corpus,5,asymmetric,0.61,0.33775880068599645
100% Corpus,5,asymmetric,0.9099999999999999,0.4969920854808686
100% Corpus,5,asymmetric,symmetric,0.37023553524463104
100% Corpus,6,0.01,0.01,0.39025311229637577
100% Corpus,6,0.01,0.31,0.38831164986136907
100% Corpus,6,0.01,0.61,0.3975174893968077
100% Corpus,6,0.01,0.9099999999999999,0.4233669006190535
100% Corpus,6,0.01,symmetric,0.3910635050152087
100% Corpus,6,0.31,0.01,0.3687416956786303
100% Corpus,6,0.31,0.31,0.3631824809260396
100% Corpus,6,0.31,0.61,0.3619974098871031
100% Corpus,6,0.31,0.9099999999999999,0.36744696785831527
100% Corpus,6,0.31,symmetric,0.35443248332428
100% Corpus,6,0.61,0.01,0.3588185570217999
100% Corpus,6,0.61,0.31,0.3530110385757336
100% Corpus,6,0.61,0.61,0.3408875492426408
100% Corpus,6,0.61,0.9099999999999999,0.33376580815141005
100% Corpus,6,0.61,symmetric,0.35020996473402527
100% Corpus,6,0.9099999999999999,0.01,0.37449999976721077
100% Corpus,6,0.9099999999999999,0.31,0.3407967150010251
100% Corpus,6,0.9099999999999999,0.61,0.30703302059641197
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3210937747344614
100% Corpus,6,0.9099999999999999,symmetric,0.3613629479563025
100% Corpus,6,symmetric,0.01,0.36727369349727845
100% Corpus,6,symmetric,0.31,0.38496513212963385
100% Corpus,6,symmetric,0.61,0.39322328418255514
100% Corpus,6,symmetric,0.9099999999999999,0.39169092697844654
100% Corpus,6,symmetric,symmetric,0.3865075206098101
100% Corpus,6,asymmetric,0.01,0.36785784940784066
100% Corpus,6,asymmetric,0.31,0.3841115394691972
